id_transacao,id_origem,id_destino,valor,data_transacao,canal,tipo_conta_origem,tipo_conta_destino,instituicao_origem,instituicao_destino,localizacao_origem,localizacao_destino,dispositivo_origem,ip_origem,fingerprint,fraude
T002190,C00380,C00123,801.0,2025-01-12 12:43:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco A,Wallet Y,Lima,Nunes,caixa_eletronico,151.156.121.124,19d53bffe528,0
T002191,C00744,C00371,300.41,2025-02-17 01:27:00,BOLETO,Pessoa Física,Pessoa Física,Banco B,Banco B,Fogaça,Moreira,caixa_eletronico,163.130.171.210,424686557bb2,0
T002192,C01452,C01006,438.4,2025-03-10 11:52:00,TED,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco Digital X,Barros,Ferreira,web,211.230.132.140,f386115eff26,0
T002193,C01442,C01112,287.9,2025-02-20 06:13:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco A,Banco B,Vieira,Lima,mobile,123.141.9.121,9181ef35d9db,0
T002194,C00732,C00815,1217.21,2025-03-28 13:49:00,TED,Pessoa Jurídica,Pessoa Jurídica,Banco B,Wallet Y,Ribeiro,Nogueira Grande,caixa_eletronico,15.181.86.175,9cb75ad4ddf8,0
T002195,C01287,C00242,802.63,2025-02-07 22:14:00,DOC,Pessoa Física,Pessoa Física,Banco B,Banco Digital X,Jesus,Oliveira Verde,mobile,252.65.100.130,7e73f658eec2,0
T002196,C01177,C00115,249.69,2025-01-22 15:33:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco C,Banco A,Sales,Silva,mobile,203.130.230.94,438344177694,0
T002197,C00075,C00211,171.62,2025-01-27 16:05:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco C,Banco A,Silveira de Freitas,Pires da Mata,mobile,255.94.249.26,70fd528f0812,0
T002198,C00082,C01052,42.72,2025-02-01 04:50:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco C,Ramos,Azevedo,caixa_eletronico,30.204.39.15,bd497afab77b,0
T002199,C01288,C00827,102.86,2025-01-19 22:51:00,PIX,Pessoa Física,Pessoa Física,Wallet Y,Banco C,Silveira,Azevedo,caixa_eletronico,198.219.238.138,ef15a5adc6b6,0
T002200,C00857,C00820,27.2,2025-02-16 06:13:00,PIX,Pessoa Física,Pessoa Física,Banco B,Wallet Y,Nascimento,Lima do Sul,web,59.219.231.14,9375c88bd17c,0
T002201,C00255,C01248,513.26,2025-01-01 17:17:00,DOC,Pessoa Física,Pessoa Física,Banco C,Banco Digital X,da Cunha de Cardoso,Santos,mobile,76.255.157.245,caba07e65ee4,0
T002202,C01358,C00415,48.05,2025-03-09 06:38:00,PIX,Pessoa Jurídica,Pessoa Física,Banco A,Banco A,Peixoto,Cardoso Grande,mobile,139.227.165.3,cacd4691fbad,0
T002203,C00120,C00231,329.71,2025-01-27 14:43:00,DOC,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco B,Pires da Serra,Rodrigues de da Conceição,web,80.113.236.133,a5d5d3e32c87,0
T002204,C00592,C00115,75.79,2025-03-22 20:15:00,DOC,Pessoa Física,Pessoa Física,Banco A,Banco A,Moraes do Oeste,Oliveira,web,20.140.105.38,cae15992f3f1,0
T002205,C00218,C00632,116.01,2025-01-22 20:12:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco B,Banco B,Gomes,Farias,caixa_eletronico,104.166.219.97,f71d5c4bbe2f,0
T002206,C01188,C00418,49.84,2025-03-05 18:56:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco A,Banco C,Lopes de Fogaça,Santos,caixa_eletronico,190.60.134.81,d9dfcb9ac3b1,0
T002207,C01143,C01021,133.32,2025-02-17 13:13:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco A,Wallet Y,Sales,Rocha,web,110.98.95.76,34cbd53b372b,0
T002208,C00326,C00864,38.61,2025-01-25 23:50:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco A,Wallet Y,Alves,Nascimento do Norte,caixa_eletronico,92.105.30.43,03b1d86553ad,0
T002209,C00005,C00227,198.75,2025-01-05 00:23:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Wallet Y,Banco A,Ribeiro dos Dourados,da Paz,mobile,63.13.211.117,75f14f1e9c48,0
T002210,FRAUD101,FRAUD103,1303.7,2025-02-05 17:50:00,DOC,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Dias,Dias,web,192.168.1.21,03d28fa7ecbd,1
T002211,C00290,C00002,842.27,2025-03-25 00:39:00,TED,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Mendes,Silveira Grande,mobile,100.146.115.196,5bd0c618dbee,0
T002212,C00618,C00661,522.6,2025-01-13 10:04:00,TED,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco B,Ribeiro,Lima Grande,caixa_eletronico,153.182.114.89,4d2bf29b6ac7,0
T002213,C00455,C00161,248.39,2025-01-09 08:42:00,TED,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco A,Barbosa,Silveira,mobile,95.141.173.24,dcfe1f6d74f5,0
T002214,C00954,C01049,108.5,2025-01-07 06:38:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco B,Banco A,Campos de Pires,Oliveira,caixa_eletronico,179.120.175.83,d3b7e9afde6e,0
T002215,C01365,C01209,37.92,2025-03-14 08:08:00,TED,Pessoa Física,Pessoa Física,Wallet Y,Banco Digital X,Viana,Caldeira,caixa_eletronico,214.105.10.42,7d6bf26cf9d5,0
T002216,C00217,C00114,203.22,2025-03-25 11:10:00,BOLETO,Pessoa Física,Pessoa Jurídica,Wallet Y,Banco C,Dias,Viana,web,239.33.239.239,e10c20b491b1,0
T002217,C00305,C00427,229.34,2025-01-29 07:06:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco A,Oliveira,Melo Verde,caixa_eletronico,142.138.169.207,ff9279d80ea2,0
T002218,C00147,C00477,299.13,2025-01-08 16:04:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco B,Wallet Y,Moura das Pedras,Cardoso,web,124.102.7.228,c5504272f2d9,0
T002219,FRAUD044,FRAUD041,1117.85,2025-02-06 00:19:00,TED,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Nascimento,Nascimento,web,192.168.1.9,d2d63bab1cf1,1
T002220,C00756,C00197,201.79,2025-01-18 17:24:00,DOC,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco Digital X,Nogueira,Azevedo,mobile,172.194.31.13,511c6af66dff,0
T002221,C00387,C01483,110.44,2025-01-23 12:07:00,BOLETO,Pessoa Física,Pessoa Física,Banco C,Banco C,Ferreira,Azevedo de Silveira,web,203.200.97.148,0bdd21974c97,0
T002222,C01263,C01005,225.5,2025-02-03 09:46:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco C,Banco C,Ferreira,Azevedo,caixa_eletronico,198.139.86.45,8f782379d7a8,0
T002223,C01346,C01362,382.38,2025-02-02 07:31:00,TED,Pessoa Física,Pessoa Jurídica,Banco C,Banco Digital X,Moreira,Santos do Campo,mobile,12.50.132.113,a9d82e6210d7,0
T002224,C00421,C00413,217.66,2025-03-23 02:05:00,DOC,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco Digital X,Porto de Moraes,Caldeira Paulista,web,187.201.221.19,64c9d0735384,0
T002225,C00396,C01080,127.61,2025-03-22 10:12:00,TED,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Wallet Y,Castro,Duarte da Serra,mobile,143.61.131.150,fa01eab1b6da,0
T002226,C00916,C00724,829.62,2025-01-29 11:35:00,TED,Pessoa Física,Pessoa Jurídica,Banco A,Banco Digital X,Azevedo,Correia,web,187.129.36.96,4ee83b77c52b,0
T002227,C01350,C00787,76.48,2025-03-27 07:10:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco A,Cavalcanti do Galho,Oliveira do Campo,caixa_eletronico,62.197.88.139,ead304e09cd0,0
T002228,C01214,C00784,212.8,2025-03-15 17:03:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco C,Banco C,Cardoso,Caldeira da Prata,caixa_eletronico,76.192.173.235,a3b7a28a520d,0
T002229,C01363,C01451,591.73,2025-02-17 17:44:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco A,Wallet Y,Jesus de Cardoso,da Luz da Mata,mobile,246.230.241.72,cffaba3f206b,0
T002230,C00984,C01227,95.94,2025-03-11 21:28:00,DOC,Pessoa Jurídica,Pessoa Física,Wallet Y,Banco C,Campos de Campos,Duarte,caixa_eletronico,86.84.223.164,f65e38b6fd44,0
T002231,C00753,C01155,616.54,2025-03-10 10:52:00,PIX,Pessoa Jurídica,Pessoa Física,Banco B,Wallet Y,Fogaça,Rocha dos Dourados,web,125.164.173.133,7392a4cc333d,0
T002232,FRAUD027,FRAUD026,532.07,2025-01-02 06:54:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Ribeiro da Praia,Ribeiro da Praia,mobile,192.168.1.6,5681ee7f10f6,1
T002233,C00878,C01364,360.64,2025-03-22 00:57:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco A,da Cruz de Minas,Monteiro do Amparo,web,164.46.69.231,7f23d47c97c8,0
T002234,FRAUD070,FRAUD072,1348.11,2025-01-31 17:24:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Pinto da Prata,Pinto da Prata,web,192.168.1.15,a8ce2bee2e0c,1
T002235,C00512,C00664,317.27,2025-03-04 23:04:00,TED,Pessoa Física,Pessoa Física,Banco A,Banco Digital X,Caldeira,Pires,caixa_eletronico,102.43.196.81,173d8f54eadf,0
T002236,C00457,C00951,167.23,2025-02-22 19:04:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco C,Banco Digital X,da Mota das Flores,Campos,mobile,151.247.198.154,7f613a2a4744,0
T002237,C00018,C00208,79.43,2025-02-09 05:06:00,BOLETO,Pessoa Física,Pessoa Física,Wallet Y,Wallet Y,Oliveira,da Conceição,mobile,115.63.249.3,6d431d88578a,0
T002238,C00834,C01297,246.55,2025-02-24 11:56:00,TED,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco A,Fernandes Verde,Melo,mobile,43.143.250.61,15d8bbb2733f,0
T002239,C00979,C01314,6.39,2025-01-27 06:56:00,TED,Pessoa Física,Pessoa Jurídica,Banco B,Banco C,Barbosa das Flores,Peixoto,web,70.56.187.38,f587268d32fe,0
T002240,C00371,C00699,1.86,2025-02-27 03:20:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco C,Campos,Nogueira Alegre,mobile,213.190.39.213,78ecb59d917c,0
T002241,C00820,C00525,31.52,2025-02-25 22:57:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco A,Wallet Y,Jesus,da Rosa,caixa_eletronico,31.205.18.165,1664a3d06bc0,0
T002242,C01330,C00833,710.33,2025-03-03 10:51:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco B,Rodrigues,Castro,mobile,231.64.31.204,e0eb617033e5,0
T002243,C00838,C01004,129.19,2025-03-17 13:03:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco B,Teixeira,Aragão,mobile,236.204.193.200,685d3eb13f8d,0
T002244,C01449,C01425,123.79,2025-02-24 07:06:00,TED,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco Digital X,Cardoso,Gonçalves de Barros,caixa_eletronico,113.19.58.245,986479ec5c05,0
T002245,C01150,C01387,258.42,2025-01-01 04:39:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco A,Banco B,Silva Paulista,Porto,web,173.245.217.133,4b6978f1bb7e,0
T002246,FRAUD019,FRAUD018,1103.46,2025-02-25 09:08:00,TED,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Peixoto da Mata,Peixoto da Mata,web,192.168.1.4,74bca729008b,1
T002247,C00104,C00992,197.28,2025-03-28 18:39:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco Digital X,Ribeiro dos Dourados,Sales,web,84.179.214.174,5c93756ba96a,0
T002248,C00359,C00655,44.19,2025-02-23 09:23:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco C,Gomes do Sul,Pires,web,35.63.108.97,48cfcc1c94ea,0
T002249,C00644,C01189,530.72,2025-02-12 00:18:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco B,Cunha da Mata,Ramos de Jesus,mobile,27.244.50.57,a77fd9a91d77,0
T002250,C00360,C00582,294.43,2025-03-12 01:51:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco A,Banco C,da Paz de Goiás,Gonçalves,caixa_eletronico,124.18.103.132,5fcd1ad1fd21,0
T002251,C00194,C00542,471.52,2025-03-11 21:43:00,DOC,Pessoa Jurídica,Pessoa Física,Banco B,Wallet Y,Barbosa Verde,Jesus Verde,mobile,159.40.118.25,336d27e48651,0
T002252,C01022,C00688,127.13,2025-02-18 17:27:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco B,Wallet Y,Pinto,Ferreira de Goiás,mobile,118.228.219.232,922463b47b46,0
T002253,C00659,C01277,57.67,2025-03-14 04:35:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco Digital X,Dias,Nunes,web,207.141.100.15,dd81373875b2,0
T002254,FRAUD017,FRAUD015,970.84,2025-02-05 21:49:00,PIX,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Correia,Correia,web,192.168.1.4,74bca729008b,1
T002255,C01484,C01276,499.43,2025-01-26 23:15:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco C,Banco C,Ferreira de Caldeira,Ramos da Praia,web,81.95.234.27,50b5b1c4f2ba,0
T002256,C01255,C01438,23.9,2025-03-20 08:17:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco C,Banco A,Alves do Sul,da Cunha de Azevedo,mobile,196.181.210.3,813598e9c019,0
T002257,C00305,C00765,794.12,2025-01-23 09:05:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Wallet Y,Banco C,Aragão,Monteiro Verde,web,252.34.115.62,ff9279d80ea2,0
T002258,C00393,C01370,260.48,2025-02-23 05:55:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco B,Wallet Y,Oliveira da Praia,Pires,mobile,146.21.90.119,93622365e6a4,0
T002259,C00792,C00772,184.53,2025-03-05 07:12:00,TED,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco B,Costa Paulista,Cunha de Teixeira,mobile,122.60.188.180,eb77c249b636,0
T002260,C01254,C01355,209.8,2025-02-14 16:02:00,TED,Pessoa Física,Pessoa Física,Banco A,Banco B,da Mata de Teixeira,Costa,caixa_eletronico,33.53.9.56,f691d1ccfa0b,0
T002261,C00836,C01145,514.14,2025-03-09 02:55:00,PIX,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco C,Barbosa de Gonçalves,Araújo,web,26.74.57.252,355714d9616c,0
T002262,C00574,C00011,233.73,2025-02-16 03:46:00,TED,Pessoa Física,Pessoa Jurídica,Banco B,Banco Digital X,da Costa dos Dourados,da Mata,web,208.202.246.146,e2016b60f8eb,0
T002263,C00398,C00682,71.28,2025-02-24 03:57:00,DOC,Pessoa Física,Pessoa Física,Banco B,Banco A,Cavalcanti Grande,Castro,caixa_eletronico,213.241.182.193,8744e11af48b,0
T002264,C00362,C01338,187.24,2025-03-04 11:53:00,DOC,Pessoa Física,Pessoa Física,Banco Digital X,Banco A,Fogaça,Peixoto do Campo,web,124.114.138.63,d312535fac2f,0
T002265,C00529,C01466,55.91,2025-03-13 09:46:00,TED,Pessoa Física,Pessoa Jurídica,Banco B,Banco C,Caldeira da Praia,Teixeira de Goiás,web,199.92.232.50,70583cb1988e,0
T002266,C00648,C00964,1775.2,2025-01-03 01:39:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco A,Banco A,Barbosa de Minas,Costa,web,113.2.175.83,ca6fe2be6ec1,0
T002267,C01254,C01112,70.2,2025-01-01 13:40:00,BOLETO,Pessoa Física,Pessoa Jurídica,Wallet Y,Banco Digital X,Castro,Sales das Pedras,caixa_eletronico,102.104.92.32,f691d1ccfa0b,0
T002268,C01005,C00672,502.81,2025-01-28 04:41:00,BOLETO,Pessoa Física,Pessoa Física,Wallet Y,Banco C,Rezende de Minas,Azevedo,mobile,134.157.12.195,6885113316d4,0
T002269,C00455,C01072,214.9,2025-03-02 21:59:00,PIX,Pessoa Jurídica,Pessoa Física,Banco C,Wallet Y,Campos do Galho,da Rocha,caixa_eletronico,94.93.229.246,dcfe1f6d74f5,0
T002270,C00917,C00017,69.59,2025-03-12 22:52:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco C,Pereira da Prata,das Neves,web,170.72.44.238,4dbd1e225d5d,0
T002271,FRAUD090,FRAUD094,1001.55,2025-01-24 12:00:00,BOLETO,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Rocha,Rocha,mobile,192.168.1.19,c512b92789c9,1
T002272,C01442,C00700,329.42,2025-02-07 07:40:00,DOC,Pessoa Física,Pessoa Jurídica,Banco B,Banco B,da Rocha,Jesus,mobile,81.240.90.83,9181ef35d9db,0
T002273,C00000,C00154,104.3,2025-01-23 21:02:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Wallet Y,Wallet Y,Silva,da Rosa de Mendes,mobile,25.210.71.73,1c50393d9a25,0
T002274,C00453,C00318,1.29,2025-02-10 06:07:00,TED,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco A,Cardoso,Mendes do Norte,mobile,138.106.155.246,96feba904331,0
T002275,C00612,C00751,152.94,2025-01-08 23:42:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Jurídica,Banco B,Banco Digital X,Mendes de Almeida,Freitas Paulista,caixa_eletronico,71.135.197.65,4594f4cb507b,0
T002276,C00786,C00397,64.38,2025-03-01 02:46:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco B,Banco B,Nogueira de Lima,Nogueira,mobile,34.222.23.238,164eed02a1e0,0
T002277,C01423,C01102,391.24,2025-03-17 10:37:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco B,Teixeira,Araújo,mobile,207.218.94.210,991a3b26c129,0
T002278,C00626,C01137,55.84,2025-01-23 01:18:00,PIX,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Pires,Ramos,web,30.153.223.80,9d66adc5b260,0
T002279,C00121,C00637,36.34,2025-01-31 13:06:00,PIX,Pessoa Jurídica,Pessoa Física,Banco B,Banco Digital X,Costela Grande,Viana das Flores,web,68.51.88.110,7cb16728aa57,0
T002280,C00865,C00602,692.28,2025-02-25 19:24:00,PIX,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco A,das Neves,Porto do Amparo,caixa_eletronico,138.57.92.69,412b61885be2,0
T002281,C01101,C00314,36.06,2025-02-19 17:05:00,BOLETO,Pessoa Jurídica,Pessoa Física,Banco B,Banco A,da Rosa de Minas,Costa dos Dourados,mobile,12.232.36.31,6d4a5ac1c55e,0
T002282,C00436,C00478,528.17,2025-01-09 05:56:00,PIX,Pessoa Física,Pessoa Jurídica,Banco A,Banco A,Pires,Dias,caixa_eletronico,95.172.112.13,b2d6af593779,0
T002283,C01093,C00840,649.26,2025-03-30 09:53:00,DOC,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco A,Gonçalves dos Dourados,Moura,mobile,228.43.205.176,a6cc23cedb9e,0
T002284,C00217,C00008,89.43,2025-02-05 00:21:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco Digital X,Banco C,Lopes,da Costa Grande,caixa_eletronico,219.172.126.49,e10c20b491b1,0
T002285,C01087,C00978,141.38,2025-03-25 19:37:00,PIX,Pessoa Física,Pessoa Jurídica,Banco C,Banco B,Pereira do Sul,Moura,caixa_eletronico,39.174.108.209,db8f58446a78,0
T002286,C01095,C00454,146.28,2025-01-18 20:46:00,BOLETO,Pessoa Jurídica,Pessoa Jurídica,Banco A,Wallet Y,Moreira de da Mota,Campos de da Rocha,caixa_eletronico,157.52.87.23,e13a97cdb240,0
T002287,C00909,C01055,54.65,2025-03-17 14:54:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Nascimento de Duarte,Almeida Paulista,mobile,253.202.166.86,3f1478d138cc,0
T002288,C01227,C00848,91.14,2025-03-09 05:21:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco A,Mendes,Barros,caixa_eletronico,182.58.112.237,f2822ba7d290,0
T002289,C00099,C01108,164.9,2025-03-01 08:38:00,PIX,Pessoa Física,Pessoa Física,Wallet Y,Wallet Y,da Mata,Vieira da Serra,mobile,239.130.83.4,803d0e99b221,0
T002290,FRAUD159,FRAUD155,711.0,2025-03-10 15:19:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Jesus,Jesus,mobile,192.168.1.32,fbee13c8be6b,1
T002291,C00449,C00157,299.82,2025-01-15 03:21:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco C,Cardoso Alegre,Carvalho,mobile,66.42.186.72,d017cdc7b3da,0
T002292,C00302,C01248,257.14,2025-03-11 11:08:00,DOC,Pessoa Física,Pessoa Jurídica,Banco A,Banco A,Duarte,Cunha,mobile,44.59.185.103,9f56e7fe269a,0
T002293,C00909,C01307,31.84,2025-01-26 07:58:00,BOLETO,Pessoa Física,Pessoa Física,Banco A,Banco B,Gonçalves,Cavalcanti,mobile,124.31.128.136,3f1478d138cc,0
T002294,FRAUD115,FRAUD116,1162.75,2025-01-29 12:04:00,BOLETO,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Vieira do Campo,Vieira do Campo,web,192.168.1.24,f1e67a05d9cf,1
T002295,C00286,C00338,295.65,2025-01-28 16:58:00,DOC,Pessoa Jurídica,Pessoa Física,Banco Digital X,Banco A,Moura das Flores,Peixoto,caixa_eletronico,196.113.120.178,cfd252aa7776,0
T002296,C00849,C00696,282.74,2025-03-27 00:53:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco C,Banco C,Duarte Alegre,Caldeira,caixa_eletronico,158.250.76.228,38548c5f9902,0
T002297,C01443,C00439,1640.03,2025-01-19 17:32:00,DOC,Pessoa Física,Pessoa Física,Wallet Y,Banco B,da Conceição do Campo,Correia,web,93.100.234.58,3409f112c617,0
T002298,C00756,C00326,388.59,2025-03-06 10:35:00,PIX,Pessoa Jurídica,Pessoa Física,Wallet Y,Banco A,da Cruz de Minas,Fernandes do Amparo,web,21.137.171.6,511c6af66dff,0
T002299,C00922,C01366,118.13,2025-01-01 09:53:00,DOC,Pessoa Física,Pessoa Jurídica,Banco B,Banco C,da Rocha de Cardoso,Moreira,caixa_eletronico,36.214.79.220,5aae4945f2ad,0
T002300,C00828,C00200,60.01,2025-02-20 09:13:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco C,da Mota do Sul,Moreira de Cardoso,mobile,83.161.73.152,8b9cde8f6ec2,0
T002301,C00496,C00353,1395.32,2025-01-31 10:21:00,PIX,Pessoa Física,Pessoa Física,Wallet Y,Banco A,Costela,Azevedo,caixa_eletronico,51.84.207.247,bd9aead9f8c0,0
T002302,C01189,C00304,180.61,2025-02-03 02:03:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco C,Banco B,Ribeiro,Cardoso do Campo,caixa_eletronico,216.226.55.137,947d28e89351,0
T002303,C00262,C00686,1026.09,2025-01-23 05:44:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco Digital X,Correia de Minas,Costela do Norte,web,94.75.29.130,b7fea32354d2,0
T002304,C00558,C00423,169.53,2025-01-04 02:34:00,PIX,Pessoa Jurídica,Pessoa Física,Banco C,Banco B,Pinto,da Costa do Campo,web,229.117.253.189,6579c9817371,0
T002305,C01005,C00320,38.63,2025-01-04 07:21:00,DOC,Pessoa Jurídica,Pessoa Física,Wallet Y,Wallet Y,Fernandes do Galho,Cardoso do Sul,mobile,121.104.179.117,6885113316d4,0
T002306,FRAUD051,FRAUD053,647.2,2025-02-10 06:12:00,TED,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Viana das Pedras,Viana das Pedras,mobile,192.168.1.11,a81bc490bab5,1
T002307,C01297,C01176,233.49,2025-03-24 08:44:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Banco A,Banco A,das Neves,Santos,web,90.214.111.144,0019f17d8de5,0
T002308,C01228,C00881,39.19,2025-02-20 12:21:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Wallet Y,Banco Digital X,Carvalho do Oeste,Costela Verde,caixa_eletronico,37.207.24.147,a39e9384b93f,0
T002309,C00135,C01315,120.65,2025-02-07 06:28:00,DOC,Pessoa Física,Pessoa Jurídica,Banco Digital X,Banco A,Ferreira,Cavalcanti,mobile,171.180.250.62,52291acbf3c3,0
T002310,C00400,C00650,191.94,2025-01-11 10:39:00,BOLETO,Pessoa Física,Pessoa Física,Banco A,Banco B,Cardoso,Barros,mobile,214.237.63.42,6b22e44617ef,0
T002311,C00047,C00529,8.46,2025-01-11 09:55:00,BOLETO,Pessoa Física,Pessoa Jurídica,Banco B,Banco C,Teixeira,Moraes,mobile,144.163.9.148,ddf0aa449800,0
T002312,C00689,C00727,1376.96,2025-01-02 21:59:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Wallet Y,Banco B,da Rocha,Monteiro,caixa_eletronico,172.49.201.41,cd15393fd899,0
T002313,C00659,C00042,412.97,2025-02-15 10:09:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Jurídica,Wallet Y,Banco B,Rocha do Oeste,Azevedo do Oeste,web,46.39.193.86,dd81373875b2,0
T002314,C01044,C00313,697.21,2025-02-21 03:27:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Wallet Y,Banco A,da Rocha,Teixeira,web,70.104.162.215,310cffa6ffb8,0
T002315,C01447,C00860,235.39,2025-01-24 05:03:00,TRANSFERÊNCIA INTERNA,Pessoa Jurídica,Pessoa Física,Banco A,Banco Digital X,Santos,Fogaça,caixa_eletronico,58.129.65.94,2330c9d08806,0
T002316,FRAUD144,FRAUD140,1263.32,2025-02-02 12:20:00,TRANSFERÊNCIA INTERNA,Pessoa Física,Pessoa Física,Banco Digital X,Banco Digital X,Nogueira,Nogueira,mobile,192.168.1.29,047df867af00,1
T002317,C00609,C00486,64.5,2025-01-09 17:31:00,PIX,Pessoa Jurídica,Pessoa Jurídica,Banco B,Banco A,da Mota das Flores,Peixoto,web,10.218.44.150,fad36aadb015,0
